stream,department,job_role,company_level,company_name,location,required_skills
Medical,General Medicine,Public Health Analyst,Startup,MedGenome,Bengaluru,"Epidemiology, Statistics"
Medical,Nursing,Clinical Nurse,Startup,Tata 1mg,Kolkata,Clinical Procedures
Medical,Radiology,Imaging Specialist,Startup,MedGenome,Pune,Medical Imaging
Medical,Nursing,ICU Nurse,Startup,Niramai,Kolkata,Critical Care
Medical,Radiology,MRI Technician,Startup,NetMeds,Mumbai,MRI Operations
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,Qure.ai,Pune,"Biochemistry, Hematology"
Medical,Radiology,CT Scan Technician,Startup,CureFit,Delhi,CT Equipment
Medical,Radiology,Radiology Technologist,Startup,MedGenome,Delhi,"X-Ray, CT, MRI"
Medical,General Medicine,Clinical Analyst,Startup,SigTuple,Bengaluru,"Clinical Data Analysis, EHR"
Medical,Biomedical,Medical Device Analyst,Startup,Portea Medical,Hyderabad,Device Testing
Medical,Healthcare Management,Healthcare Manager,Startup,SigTuple,Delhi,Healthcare Management
Medical,Biomedical,Medical Device Analyst,Startup,Tricog Health,Bengaluru,Device Testing
Medical,General Medicine,Healthcare Consultant,Startup,PharmEasy,Pune,Hospital Operations
Medical,General Medicine,Healthcare Consultant,Startup,PharmEasy,Chennai,Hospital Operations
Medical,General Medicine,Clinical Research Associate,Startup,Tricog Health,Kolkata,Clinical Trials
Medical,Medical Lab Technology,Quality Control Analyst,Startup,MFine,Hyderabad,Lab Quality Standards
Medical,Nursing,Clinical Nurse,Startup,MedGenome,Hyderabad,Clinical Procedures
Medical,Biomedical,Clinical Engineer,Startup,DocsApp,Bengaluru,Equipment Maintenance
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,DocsApp,Delhi,"Biochemistry, Hematology"
Medical,Biomedical,Service Engineer,Startup,Niramai,Ahmedabad,Medical Equipment Service
Medical,Biomedical,Medical Device Analyst,Startup,Practo,Bengaluru,Device Testing
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,Portea Medical,Chennai,Medical Diagnostics
Medical,Healthcare Management,Quality Manager,Startup,DocsApp,Chennai,Healthcare Quality
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,DocsApp,Chennai,Medical Diagnostics
Medical,General Medicine,Medical Officer,Startup,HealthifyMe,Chennai,"Patient Care, Diagnosis"
Medical,Biomedical,Clinical Engineer,Startup,DocsApp,Bengaluru,Equipment Maintenance
Medical,Radiology,CT Scan Technician,Startup,CureFit,Delhi,CT Equipment
Medical,Nursing,ICU Nurse,Startup,Practo,Chennai,Critical Care
Medical,Healthcare Management,Healthcare Manager,Startup,Tricog Health,Mumbai,Healthcare Management
Medical,Radiology,MRI Technician,Startup,Practo,Kolkata,MRI Operations
Medical,Healthcare Management,Hospital Administrator,Startup,SigTuple,Bengaluru,Hospital Operations
Medical,Biomedical,Regulatory Affairs Executive,Startup,NetMeds,Chennai,Medical Regulations
Medical,General Medicine,Clinical Analyst,Startup,MFine,Mumbai,"Clinical Data Analysis, EHR"
Medical,General Medicine,Medical Officer,Startup,Qure.ai,Hyderabad,"Patient Care, Diagnosis"
Medical,Radiology,MRI Technician,Startup,HealthifyMe,Ahmedabad,MRI Operations
Medical,Biomedical,Service Engineer,Startup,SigTuple,Bengaluru,Medical Equipment Service
Medical,Radiology,Radiology Analyst,Startup,CureFit,Chennai,Image Analysis
Medical,Nursing,Nurse Educator,Startup,Practo,Pune,Medical Training
Medical,General Medicine,Public Health Analyst,Startup,Tricog Health,Hyderabad,"Epidemiology, Statistics"
Medical,General Medicine,Clinical Analyst,Startup,Tata 1mg,Chennai,"Clinical Data Analysis, EHR"
Medical,Medical Lab Technology,Lab Technician,Startup,MedGenome,Kolkata,"Pathology, Lab Testing"
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,SigTuple,Hyderabad,Medical Diagnostics
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,NetMeds,Ahmedabad,"Biochemistry, Hematology"
Medical,Nursing,ICU Nurse,Startup,Innovaccer Health,Bengaluru,Critical Care
Medical,Medical Lab Technology,Lab Technician,Startup,HealthifyMe,Hyderabad,"Pathology, Lab Testing"
Medical,Medical Lab Technology,Quality Control Analyst,Startup,MedGenome,Mumbai,Lab Quality Standards
Medical,Radiology,Radiology Analyst,Startup,Niramai,Bengaluru,Image Analysis
Medical,General Medicine,Clinical Analyst,Startup,Tata 1mg,Kolkata,"Clinical Data Analysis, EHR"
Medical,Healthcare Management,Hospital Administrator,Startup,MFine,Chennai,Hospital Operations
Medical,Radiology,Imaging Specialist,Startup,Qure.ai,Kolkata,Medical Imaging
Medical,Radiology,MRI Technician,Startup,Qure.ai,Chennai,MRI Operations
Medical,Nursing,ICU Nurse,Startup,CureFit,Hyderabad,Critical Care
Medical,Nursing,Nurse Educator,Startup,Tata 1mg,Pune,Medical Training
Medical,Biomedical,Biomedical Engineer,Startup,NetMeds,Bengaluru,Medical Devices
Medical,General Medicine,Medical Officer,Startup,MFine,Mumbai,"Patient Care, Diagnosis"
Medical,General Medicine,Clinical Analyst,Startup,Practo,Hyderabad,"Clinical Data Analysis, EHR"
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,SigTuple,Kolkata,"Biochemistry, Hematology"
Medical,Biomedical,Medical Device Analyst,Startup,HealthifyMe,Bengaluru,Device Testing
Medical,General Medicine,Clinical Analyst,Startup,Tricog Health,Hyderabad,"Clinical Data Analysis, EHR"
Medical,Healthcare Management,Hospital Administrator,Startup,HealthifyMe,Pune,Hospital Operations
Medical,Radiology,Radiology Technologist,Startup,Dozee,Delhi,"X-Ray, CT, MRI"
Medical,Biomedical,Biomedical Engineer,Startup,HealthifyMe,Chennai,Medical Devices
Medical,Medical Lab Technology,Lab Technician,Startup,Innovaccer Health,Mumbai,"Pathology, Lab Testing"
Medical,Nursing,Care Coordinator,Startup,MedGenome,Ahmedabad,Patient Management
Medical,Healthcare Management,Hospital Administrator,Startup,Practo,Hyderabad,Hospital Operations
Medical,Radiology,Radiology Analyst,Startup,CureFit,Ahmedabad,Image Analysis
Medical,Nursing,Nurse Educator,Startup,MedGenome,Chennai,Medical Training
Medical,Medical Lab Technology,Lab Supervisor,Startup,Niramai,Delhi,Lab Operations
Medical,Radiology,Imaging Specialist,Startup,Tata 1mg,Hyderabad,Medical Imaging
Medical,Medical Lab Technology,Lab Supervisor,Startup,MFine,Chennai,Lab Operations
Medical,Radiology,Imaging Specialist,Startup,Portea Medical,Ahmedabad,Medical Imaging
Medical,Radiology,Radiology Technologist,Startup,Tata 1mg,Ahmedabad,"X-Ray, CT, MRI"
Medical,Radiology,Radiology Analyst,Startup,Innovaccer Health,Ahmedabad,Image Analysis
Medical,Medical Lab Technology,Quality Control Analyst,Startup,MedGenome,Kolkata,Lab Quality Standards
Medical,Medical Lab Technology,Lab Supervisor,Startup,DocsApp,Chennai,Lab Operations
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,DocsApp,Pune,Medical Diagnostics
Medical,Healthcare Management,Medical Operations Analyst,Startup,Portea Medical,Kolkata,Process Optimization
Medical,Radiology,Imaging Specialist,Startup,Tata 1mg,Kolkata,Medical Imaging
Medical,Radiology,CT Scan Technician,Startup,Innovaccer Health,Chennai,CT Equipment
Medical,Nursing,Staff Nurse,Startup,NetMeds,Pune,"Patient Care, Monitoring"
Medical,Radiology,CT Scan Technician,Startup,Tata 1mg,Pune,CT Equipment
Medical,Radiology,MRI Technician,Startup,Portea Medical,Chennai,MRI Operations
Medical,Healthcare Management,Quality Manager,Startup,Portea Medical,Delhi,Healthcare Quality
Medical,General Medicine,Clinical Analyst,Startup,Portea Medical,Hyderabad,"Clinical Data Analysis, EHR"
Medical,Medical Lab Technology,Lab Technician,Startup,HealthifyMe,Bengaluru,"Pathology, Lab Testing"
Medical,Healthcare Management,Hospital Administrator,Startup,SigTuple,Pune,Hospital Operations
Medical,Radiology,MRI Technician,Startup,Portea Medical,Chennai,MRI Operations
Medical,Medical Lab Technology,Lab Technician,Startup,NetMeds,Ahmedabad,"Pathology, Lab Testing"
Medical,Medical Lab Technology,Lab Technician,Startup,Tata 1mg,Bengaluru,"Pathology, Lab Testing"
Medical,Radiology,CT Scan Technician,Startup,CureFit,Delhi,CT Equipment
Medical,Biomedical,Service Engineer,Startup,Dozee,Pune,Medical Equipment Service
Medical,Medical Lab Technology,Lab Technician,Startup,Qure.ai,Chennai,"Pathology, Lab Testing"
Medical,Medical Lab Technology,Lab Supervisor,Startup,HealthifyMe,Bengaluru,Lab Operations
Medical,General Medicine,Public Health Analyst,Startup,MedGenome,Pune,"Epidemiology, Statistics"
Medical,Radiology,CT Scan Technician,Startup,Tata 1mg,Hyderabad,CT Equipment
Medical,Medical Lab Technology,Lab Technician,Startup,SigTuple,Pune,"Pathology, Lab Testing"
Medical,Medical Lab Technology,Lab Technician,Startup,HealthifyMe,Mumbai,"Pathology, Lab Testing"
Medical,Healthcare Management,Healthcare Manager,Startup,SigTuple,Ahmedabad,Healthcare Management
Medical,Radiology,Imaging Specialist,Startup,Innovaccer Health,Mumbai,Medical Imaging
Medical,Biomedical,Medical Device Analyst,Startup,DocsApp,Ahmedabad,Device Testing
Medical,General Medicine,Clinical Research Associate,Startup,MedGenome,Kolkata,Clinical Trials
Medical,Radiology,Radiology Analyst,Startup,Qure.ai,Pune,Image Analysis
Medical,Radiology,MRI Technician,Startup,MFine,Delhi,MRI Operations
Medical,Radiology,Radiology Technologist,Startup,Niramai,Bengaluru,"X-Ray, CT, MRI"
Medical,Radiology,Imaging Specialist,Startup,PharmEasy,Bengaluru,Medical Imaging
Medical,Healthcare Management,Healthcare Manager,Startup,SigTuple,Kolkata,Healthcare Management
Medical,Medical Lab Technology,Lab Supervisor,Startup,Portea Medical,Kolkata,Lab Operations
Medical,Radiology,MRI Technician,Startup,Portea Medical,Hyderabad,MRI Operations
Medical,Radiology,Imaging Specialist,Startup,CureFit,Ahmedabad,Medical Imaging
Medical,Medical Lab Technology,Lab Supervisor,Startup,Practo,Bengaluru,Lab Operations
Medical,General Medicine,Healthcare Consultant,Startup,HealthifyMe,Chennai,Hospital Operations
Medical,Healthcare Management,Health Information Manager,Startup,Niramai,Pune,Medical Records
Medical,Biomedical,Service Engineer,Startup,CureFit,Bengaluru,Medical Equipment Service
Medical,Healthcare Management,Medical Operations Analyst,Startup,MFine,Pune,Process Optimization
Medical,Healthcare Management,Medical Operations Analyst,Startup,Innovaccer Health,Delhi,Process Optimization
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,PharmEasy,Ahmedabad,Medical Diagnostics
Medical,Medical Lab Technology,Lab Supervisor,Startup,DocsApp,Chennai,Lab Operations
Medical,Healthcare Management,Healthcare Manager,Startup,NetMeds,Bengaluru,Healthcare Management
Medical,Radiology,Radiology Technologist,Startup,SigTuple,Kolkata,"X-Ray, CT, MRI"
Medical,Healthcare Management,Healthcare Manager,Startup,Practo,Hyderabad,Healthcare Management
Medical,Biomedical,Medical Device Analyst,Startup,MedGenome,Chennai,Device Testing
Medical,Healthcare Management,Medical Operations Analyst,Startup,Tata 1mg,Bengaluru,Process Optimization
Medical,Biomedical,Clinical Engineer,Startup,Dozee,Chennai,Equipment Maintenance
Medical,Radiology,Radiology Analyst,Startup,DocsApp,Hyderabad,Image Analysis
Medical,Healthcare Management,Hospital Administrator,Startup,DocsApp,Pune,Hospital Operations
Medical,Biomedical,Service Engineer,Startup,PharmEasy,Delhi,Medical Equipment Service
Medical,Biomedical,Biomedical Engineer,Startup,SigTuple,Ahmedabad,Medical Devices
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,Qure.ai,Hyderabad,Medical Diagnostics
Medical,Healthcare Management,Healthcare Manager,Startup,CureFit,Mumbai,Healthcare Management
Medical,Radiology,CT Scan Technician,Startup,SigTuple,Chennai,CT Equipment
Medical,Medical Lab Technology,Lab Technician,Startup,NetMeds,Delhi,"Pathology, Lab Testing"
Medical,Radiology,CT Scan Technician,Startup,MedGenome,Pune,CT Equipment
Medical,General Medicine,Clinical Analyst,Startup,MedGenome,Hyderabad,"Clinical Data Analysis, EHR"
Medical,Radiology,Radiology Technologist,Startup,Niramai,Pune,"X-Ray, CT, MRI"
Medical,General Medicine,Clinical Analyst,Startup,Portea Medical,Chennai,"Clinical Data Analysis, EHR"
Medical,Nursing,Care Coordinator,Startup,SigTuple,Delhi,Patient Management
Medical,Healthcare Management,Hospital Administrator,Startup,SigTuple,Mumbai,Hospital Operations
Medical,Healthcare Management,Healthcare Manager,Startup,Innovaccer Health,Pune,Healthcare Management
Medical,Radiology,Radiology Technologist,Startup,Innovaccer Health,Delhi,"X-Ray, CT, MRI"
Medical,Healthcare Management,Health Information Manager,Startup,Innovaccer Health,Kolkata,Medical Records
Medical,Nursing,Care Coordinator,Startup,SigTuple,Delhi,Patient Management
Medical,Radiology,CT Scan Technician,Startup,SigTuple,Chennai,CT Equipment
Medical,Radiology,Imaging Specialist,Startup,Portea Medical,Kolkata,Medical Imaging
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,PharmEasy,Ahmedabad,Medical Diagnostics
Medical,Nursing,ICU Nurse,Startup,MFine,Kolkata,Critical Care
Medical,Biomedical,Service Engineer,Startup,NetMeds,Chennai,Medical Equipment Service
Medical,Medical Lab Technology,Lab Supervisor,Startup,SigTuple,Bengaluru,Lab Operations
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,Qure.ai,Hyderabad,"Biochemistry, Hematology"
Medical,Radiology,Imaging Specialist,Startup,Qure.ai,Delhi,Medical Imaging
Medical,Nursing,Clinical Nurse,Startup,DocsApp,Delhi,Clinical Procedures
Medical,Radiology,Radiology Technologist,Startup,CureFit,Mumbai,"X-Ray, CT, MRI"
Medical,Healthcare Management,Medical Operations Analyst,Startup,HealthifyMe,Bengaluru,Process Optimization
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,Practo,Chennai,Medical Diagnostics
Medical,Radiology,MRI Technician,Startup,NetMeds,Kolkata,MRI Operations
Medical,Biomedical,Clinical Engineer,Startup,PharmEasy,Hyderabad,Equipment Maintenance
Medical,Radiology,MRI Technician,Startup,Dozee,Kolkata,MRI Operations
Medical,General Medicine,Medical Officer,Startup,MedGenome,Bengaluru,"Patient Care, Diagnosis"
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,HealthifyMe,Mumbai,"Biochemistry, Hematology"
Medical,General Medicine,Public Health Analyst,Startup,Practo,Ahmedabad,"Epidemiology, Statistics"
Medical,Radiology,Imaging Specialist,Startup,Niramai,Hyderabad,Medical Imaging
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,Niramai,Delhi,Medical Diagnostics
Medical,Medical Lab Technology,Lab Technician,Startup,NetMeds,Hyderabad,"Pathology, Lab Testing"
Medical,Nursing,Nurse Educator,Startup,Portea Medical,Mumbai,Medical Training
Medical,Healthcare Management,Medical Operations Analyst,Startup,CureFit,Kolkata,Process Optimization
Medical,Healthcare Management,Healthcare Manager,Startup,Dozee,Hyderabad,Healthcare Management
Medical,Medical Lab Technology,Diagnostic Analyst,Startup,SigTuple,Mumbai,Medical Diagnostics
Medical,General Medicine,Clinical Analyst,Startup,Portea Medical,Kolkata,"Clinical Data Analysis, EHR"
Medical,General Medicine,Public Health Analyst,Startup,Practo,Chennai,"Epidemiology, Statistics"
Medical,General Medicine,Clinical Analyst,Startup,NetMeds,Chennai,"Clinical Data Analysis, EHR"
Medical,Radiology,Imaging Specialist,Startup,DocsApp,Hyderabad,Medical Imaging
Medical,Medical Lab Technology,Quality Control Analyst,Startup,CureFit,Chennai,Lab Quality Standards
Medical,Biomedical,Biomedical Engineer,Startup,Tata 1mg,Mumbai,Medical Devices
Medical,Nursing,ICU Nurse,Startup,Tricog Health,Delhi,Critical Care
Medical,Nursing,Care Coordinator,Startup,Portea Medical,Hyderabad,Patient Management
Medical,Healthcare Management,Health Information Manager,Startup,MFine,Chennai,Medical Records
Medical,General Medicine,Medical Officer,Startup,MFine,Pune,"Patient Care, Diagnosis"
Medical,Healthcare Management,Health Information Manager,Startup,PharmEasy,Mumbai,Medical Records
Medical,General Medicine,Clinical Research Associate,Startup,HealthifyMe,Chennai,Clinical Trials
Medical,Nursing,Staff Nurse,Startup,Tricog Health,Kolkata,"Patient Care, Monitoring"
Medical,Biomedical,Service Engineer,Startup,CureFit,Mumbai,Medical Equipment Service
Medical,Healthcare Management,Medical Operations Analyst,Startup,Niramai,Chennai,Process Optimization
Medical,Nursing,ICU Nurse,Startup,NetMeds,Ahmedabad,Critical Care
Medical,Healthcare Management,Health Information Manager,Startup,Niramai,Ahmedabad,Medical Records
Medical,Nursing,Care Coordinator,Startup,Tata 1mg,Kolkata,Patient Management
Medical,General Medicine,Clinical Analyst,Startup,Qure.ai,Ahmedabad,"Clinical Data Analysis, EHR"
Medical,General Medicine,Healthcare Consultant,Startup,SigTuple,Bengaluru,Hospital Operations
Medical,Healthcare Management,Health Information Manager,Startup,HealthifyMe,Chennai,Medical Records
Medical,Nursing,ICU Nurse,Startup,MFine,Mumbai,Critical Care
Medical,Radiology,Imaging Specialist,Startup,Dozee,Bengaluru,Medical Imaging
Medical,Healthcare Management,Medical Operations Analyst,Startup,MFine,Chennai,Process Optimization
Medical,Nursing,Clinical Nurse,Startup,CureFit,Bengaluru,Clinical Procedures
Medical,General Medicine,Clinical Research Associate,Startup,Niramai,Delhi,Clinical Trials
Medical,Healthcare Management,Quality Manager,Startup,Niramai,Ahmedabad,Healthcare Quality
Medical,Medical Lab Technology,Medical Lab Technologist,Startup,NetMeds,Ahmedabad,"Biochemistry, Hematology"
Medical,Medical Lab Technology,Quality Control Analyst,Startup,Portea Medical,Bengaluru,Lab Quality Standards
Medical,General Medicine,Healthcare Consultant,Startup,Tata 1mg,Pune,Hospital Operations
Medical,Healthcare Management,Health Information Manager,Startup,Tata 1mg,Delhi,Medical Records
Medical,Radiology,CT Scan Technician,Startup,Portea Medical,Pune,CT Equipment
Medical,Radiology,Radiology Analyst,Startup,Practo,Pune,Image Analysis
Medical,Radiology,MRI Technician,Startup,Practo,Kolkata,MRI Operations
Medical,Healthcare Management,Healthcare Manager,Startup,PharmEasy,Delhi,Healthcare Management
Medical,General Medicine,Clinical Analyst,Startup,HealthifyMe,Delhi,"Clinical Data Analysis, EHR"
Medical,Nursing,Care Coordinator,Startup,Qure.ai,Mumbai,Patient Management
Medical,Radiology,CT Scan Technician,Startup,Practo,Bengaluru,CT Equipment
Medical,Radiology,Radiology Technologist,Startup,Tricog Health,Pune,"X-Ray, CT, MRI"
Medical,Nursing,Staff Nurse,Startup,Niramai,Mumbai,"Patient Care, Monitoring"
Medical,General Medicine,Clinical Research Associate,Mid,Dr Lal PathLabs,Kolkata,Clinical Trials
Medical,Nursing,Staff Nurse,Mid,Thyrocare,Pune,"Patient Care, Monitoring"
Medical,Nursing,Staff Nurse,Mid,SRL Diagnostics,Delhi,"Patient Care, Monitoring"
Medical,Biomedical,Service Engineer,Mid,Aster DM Healthcare,Pune,Medical Equipment Service
Medical,Nursing,Nurse Educator,Mid,Thyrocare,Bengaluru,Medical Training
Medical,Nursing,Clinical Nurse,Mid,Thyrocare,Delhi,Clinical Procedures
Medical,Healthcare Management,Hospital Administrator,Mid,Care Hospitals,Delhi,Hospital Operations
Medical,Nursing,Clinical Nurse,Mid,Thyrocare,Hyderabad,Clinical Procedures
Medical,Radiology,Imaging Specialist,Mid,Vijaya Diagnostics,Chennai,Medical Imaging
Medical,Nursing,Staff Nurse,Mid,Dr Lal PathLabs,Mumbai,"Patient Care, Monitoring"
Medical,Radiology,MRI Technician,Mid,Oncquest Labs,Ahmedabad,MRI Operations
Medical,Medical Lab Technology,Lab Supervisor,Mid,Rainbow Hospitals,Delhi,Lab Operations
Medical,Nursing,Nurse Educator,Mid,Thyrocare,Bengaluru,Medical Training
Medical,General Medicine,Healthcare Consultant,Mid,Rainbow Hospitals,Bengaluru,Hospital Operations
Medical,Radiology,CT Scan Technician,Mid,Metropolis Healthcare,Bengaluru,CT Equipment
Medical,Biomedical,Medical Device Analyst,Mid,Oncquest Labs,Kolkata,Device Testing
Medical,Nursing,Nurse Educator,Mid,Rainbow Hospitals,Delhi,Medical Training
Medical,Radiology,Radiology Analyst,Mid,Rainbow Hospitals,Chennai,Image Analysis
Medical,Medical Lab Technology,Lab Supervisor,Mid,Vijaya Diagnostics,Mumbai,Lab Operations
Medical,General Medicine,Medical Officer,Mid,KIMS Hospitals,Ahmedabad,"Patient Care, Diagnosis"
Medical,Nursing,Care Coordinator,Mid,Dr Lal PathLabs,Pune,Patient Management
Medical,Medical Lab Technology,Lab Technician,Mid,Dr Lal PathLabs,Chennai,"Pathology, Lab Testing"
Medical,Biomedical,Service Engineer,Mid,Rainbow Hospitals,Hyderabad,Medical Equipment Service
Medical,Medical Lab Technology,Lab Supervisor,Mid,Metropolis Healthcare,Ahmedabad,Lab Operations
Medical,Biomedical,Biomedical Engineer,Mid,Metropolis Healthcare,Bengaluru,Medical Devices
Medical,Biomedical,Service Engineer,Mid,Oncquest Labs,Bengaluru,Medical Equipment Service
Medical,Healthcare Management,Health Information Manager,Mid,SRL Diagnostics,Bengaluru,Medical Records
Medical,Biomedical,Clinical Engineer,Mid,Oncquest Labs,Hyderabad,Equipment Maintenance
Medical,Healthcare Management,Quality Manager,Mid,Metropolis Healthcare,Hyderabad,Healthcare Quality
Medical,Healthcare Management,Health Information Manager,Mid,Care Hospitals,Delhi,Medical Records
Medical,Radiology,MRI Technician,Mid,Metropolis Healthcare,Kolkata,MRI Operations
Medical,Healthcare Management,Healthcare Manager,Mid,SRL Diagnostics,Bengaluru,Healthcare Management
Medical,General Medicine,Medical Officer,Mid,Vijaya Diagnostics,Mumbai,"Patient Care, Diagnosis"
Medical,Healthcare Management,Health Information Manager,Mid,SRL Diagnostics,Delhi,Medical Records
Medical,Radiology,Imaging Specialist,Mid,KIMS Hospitals,Mumbai,Medical Imaging
Medical,Radiology,Imaging Specialist,Mid,Oncquest Labs,Bengaluru,Medical Imaging
Medical,Nursing,Care Coordinator,Mid,Vijaya Diagnostics,Ahmedabad,Patient Management
Medical,Radiology,Radiology Analyst,Mid,Oncquest Labs,Hyderabad,Image Analysis
Medical,Biomedical,Clinical Engineer,Mid,Thyrocare,Hyderabad,Equipment Maintenance
Medical,Biomedical,Medical Device Analyst,Mid,Dr Lal PathLabs,Bengaluru,Device Testing
Medical,Radiology,CT Scan Technician,Mid,SRL Diagnostics,Pune,CT Equipment
Medical,General Medicine,Healthcare Consultant,Mid,Vijaya Diagnostics,Pune,Hospital Operations
Medical,General Medicine,Clinical Research Associate,Mid,Thyrocare,Delhi,Clinical Trials
Medical,Nursing,ICU Nurse,Mid,SRL Diagnostics,Mumbai,Critical Care
Medical,Medical Lab Technology,Lab Supervisor,Mid,Metropolis Healthcare,Mumbai,Lab Operations
Medical,Biomedical,Medical Device Analyst,Mid,Aster DM Healthcare,Chennai,Device Testing
Medical,Medical Lab Technology,Diagnostic Analyst,Mid,Metropolis Healthcare,Chennai,Medical Diagnostics
Medical,Radiology,Radiology Technologist,Mid,KIMS Hospitals,Pune,"X-Ray, CT, MRI"
Medical,Nursing,Nurse Educator,Mid,Oncquest Labs,Ahmedabad,Medical Training
Medical,Biomedical,Service Engineer,Mid,Vijaya Diagnostics,Pune,Medical Equipment Service
Medical,General Medicine,Clinical Analyst,Mid,Dr Lal PathLabs,Delhi,"Clinical Data Analysis, EHR"
Medical,General Medicine,Public Health Analyst,Mid,Vijaya Diagnostics,Bengaluru,"Epidemiology, Statistics"
Medical,Healthcare Management,Medical Operations Analyst,Mid,Vijaya Diagnostics,Kolkata,Process Optimization
Medical,General Medicine,Public Health Analyst,Mid,Dr Lal PathLabs,Hyderabad,"Epidemiology, Statistics"
